name,team,season,count,id
 Adrien Silva,leicester-city,2018,9,1
 AdriÃ¡n,west-ham-united,2016,32,2
 AdriÃ¡n,west-ham-united,2017,16,2
 AdriÃ¡n,west-ham-united,2018,19,2
 Alberto Moreno,liverpool-fc,2016,28,3
 Alberto Moreno,liverpool-fc,2017,2,3
 Alberto Moreno,liverpool-fc,2018,14,3
 Aleix GarcÃ­a,manchester-city,2017,1,4
 Alexandre Pato,chelsea-fc,2016,1,5
 Ander Herrera,manchester-united,2016,17,6
 Ander Herrera,manchester-united,2017,27,6
 Ander Herrera,manchester-united,2018,13,6
 Arbeloa,west-ham-united,2017,1,7
 Ayoze PÃ©rez,newcastle-united,2016,22,8
 Ayoze PÃ©rez,newcastle-united,2018,28,8
 Azpilicueta,chelsea-fc,2016,36,9
 Azpilicueta,chelsea-fc,2017,38,9
 Azpilicueta,chelsea-fc,2018,37,9
 BarragÃ¡n,middlesbrough-fc,2017,26,10
 Bernardo Silva,manchester-city,2018,15,11
 Bojan,stoke-city,2016,22,12
 Bojan,stoke-city,2017,5,12
 Bojan,stoke-city,2018,1,12
 Borja BastÃ³n,swansea-city,2017,4,13
 Bruno,brighton-hove-albion,2018,23,14
 Carles Gil,aston-villa,2016,17,15
 Cesc FÃ bregas,chelsea-fc,2016,33,16
 Cesc FÃ bregas,chelsea-fc,2017,13,16
 Cesc FÃ bregas,chelsea-fc,2018,25,16
 Coutinho,liverpool-fc,2016,24,17
 Coutinho,liverpool-fc,2017,28,17
 Coutinho,liverpool-fc,2018,13,17
 CÃ©dric Soares,southampton-fc,2016,23,18
 CÃ©dric Soares,southampton-fc,2017,30,18
 CÃ©dric Soares,southampton-fc,2018,32,18
 Daniel Ayala,middlesbrough-fc,2017,11,19
 Danilo,manchester-city,2018,13,20
 David Luiz,chelsea-fc,2017,33,21
 David Luiz,chelsea-fc,2018,9,21
 David Silva,manchester-city,2016,22,22
 David Silva,manchester-city,2017,31,22
 David Silva,manchester-city,2018,28,22
 De Gea,manchester-united,2016,34,23
 De Gea,manchester-united,2017,35,23
 De Gea,manchester-united,2018,37,23
 Diego Costa,chelsea-fc,2016,27,24
 Diego Costa,chelsea-fc,2017,35,24
 Ederson,manchester-city,2018,36,25
 Emerson,chelsea-fc,2018,3,26
 Evandro,hull-city,2017,7,27
 Fernandinho,manchester-city,2016,31,28
 Fernandinho,manchester-city,2017,31,28
 Fernandinho,manchester-city,2018,33,28
 Fernando,manchester-city,2016,17,29
 Fernando,manchester-city,2017,5,29
 FÃ¡bio,middlesbrough-fc,2017,21,30
 Gabriel Jesus,manchester-city,2017,8,31
 Gabriel Jesus,manchester-city,2018,19,31
 Gabriel Paulista,arsenal-fc,2016,18,32
 Gabriel Paulista,arsenal-fc,2017,15,32
 Gerard Deulofeu,everton-fc,2016,16,33
 Gerard Deulofeu,everton-fc,2017,4,33
 Gerard Deulofeu,watford-fc,2018,5,33
 Gomes,watford-fc,2016,38,34
 Gomes,watford-fc,2017,38,34
 Gomes,watford-fc,2018,24,34
 HÃ©ctor BellerÃ­n,arsenal-fc,2016,36,35
 HÃ©ctor BellerÃ­n,arsenal-fc,2017,27,35
 HÃ©ctor BellerÃ­n,arsenal-fc,2018,34,35
 Iborra,leicester-city,2018,17,36
 Ivo Pinto,norwich-city,2016,9,37
 JesÃ©,stoke-city,2018,8,38
 JesÃºs GÃ¡mez,newcastle-united,2018,1,39
 JesÃºs Navas,manchester-city,2016,24,40
 JesÃºs Navas,manchester-city,2017,12,40
 Joel,everton-fc,2016,13,41
 Joel,everton-fc,2017,19,41
 Joel Pereira,manchester-united,2017,1,42
 Jordi Amat,swansea-city,2016,5,43
 Jordi Amat,swansea-city,2017,15,43
 Jordi GÃ³mez,sunderland-afc,2016,5,44
 Joselu,newcastle-united,2018,19,45
 Joselu,stoke-city,2016,10,45
 JosÃ© Fonte,southampton-fc,2016,37,46
 JosÃ© Fonte,southampton-fc,2017,17,46
 JosÃ© Fonte,west-ham-united,2017,16,46
 JosÃ© Fonte,west-ham-united,2018,8,46
 JoÃ£o MÃ¡rio,west-ham-united,2018,12,47
 Jurado,watford-fc,2016,27,48
 Kenedy,chelsea-fc,2016,4,49
 Kenedy,chelsea-fc,2017,1,49
 Kenedy,newcastle-united,2018,13,49
 Kiko FemenÃ­a,watford-fc,2018,19,50
 Llorente,swansea-city,2017,28,51
 Llorente,tottenham-hotspur,2018,1,51
 Lucas,tottenham-hotspur,2018,2,52
 Lucas Leiva,liverpool-fc,2016,21,53
 Lucas Leiva,liverpool-fc,2017,12,53
 Lucas PÃ©rez,arsenal-fc,2017,2,54
 Luis HernÃ¡ndez,leicester-city,2017,3,55
 Manquillo,newcastle-united,2018,19,56
 Manquillo,sunderland-afc,2017,15,56
 Marcos Alonso,chelsea-fc,2017,30,57
 Marcos Alonso,chelsea-fc,2018,33,57
 Mario SuÃ¡rez,watford-fc,2016,8,58
 Mata,manchester-united,2016,34,59
 Mata,manchester-united,2017,19,59
 Mata,manchester-united,2018,23,59
 Mikel Merino,newcastle-united,2018,14,60
 Morata,chelsea-fc,2018,24,61
 Muniesa,stoke-city,2016,12,62
 Muniesa,stoke-city,2017,7,62
 Nacho Monreal,arsenal-fc,2016,36,63
 Nacho Monreal,arsenal-fc,2017,35,63
 Nacho Monreal,arsenal-fc,2018,26,63
 Nolito,manchester-city,2017,9,64
 Oriol Romeu,southampton-fc,2016,17,65
 Oriol Romeu,southampton-fc,2017,35,65
 Oriol Romeu,southampton-fc,2018,34,65
 Oscar,chelsea-fc,2016,20,66
 Oscar,chelsea-fc,2017,5,66
 Pedro,chelsea-fc,2016,24,67
 Pedro,chelsea-fc,2017,26,67
 Pedro,chelsea-fc,2018,17,67
 Pedro Chirivella,liverpool-fc,2016,1,68
 Pedro Obiang,west-ham-united,2016,11,69
 Pedro Obiang,west-ham-united,2017,21,69
 Pedro Obiang,west-ham-united,2018,18,69
 Ramires,chelsea-fc,2016,7,70
 Renato Sanches,swansea-city,2018,9,71
 Richarlison,watford-fc,2018,32,72
 Roberto Firmino,liverpool-fc,2016,24,73
 Roberto Firmino,liverpool-fc,2017,34,73
 Roberto Firmino,liverpool-fc,2018,32,73
 Roque Mesa,swansea-city,2018,9,74
 Sandro,everton-fc,2018,3,75
 Sandro,west-bromwich-albion,2016,5,75
 Santi Cazorla,arsenal-fc,2016,15,76
 Santi Cazorla,arsenal-fc,2017,7,76
 VÃ­ctor ValdÃ©s,middlesbrough-fc,2017,28,77
 Willian,chelsea-fc,2016,32,78
 Willian,chelsea-fc,2017,15,78
 Willian,chelsea-fc,2018,20,78
 Ãngel Rangel,swansea-city,2016,20,79
 Ãngel Rangel,swansea-city,2017,8,79
 Ãngel Rangel,swansea-city,2018,2,79
 Ãlvaro Negredo,middlesbrough-fc,2017,33,80
 Ãngel Crespo,aston-villa,2016,1,81
 Ãder,swansea-city,2016,2,82
Aaron Cresswell,west-ham-united,2016,37,83
Aaron Cresswell,west-ham-united,2017,24,83
Aaron Cresswell,west-ham-united,2018,35,83
Aaron Lennon,burnley-fc,2018,13,84
Aaron Lennon,everton-fc,2016,17,84
Aaron Lennon,everton-fc,2017,6,84
Aaron Lennon,everton-fc,2018,9,84
Aaron Mooy,huddersfield-town,2018,34,85
Aaron Ramsey,arsenal-fc,2016,29,86
Aaron Ramsey,arsenal-fc,2017,13,86
Aaron Ramsey,arsenal-fc,2018,21,86
Aaron Wan-Bissaka,crystal-palace,2018,7,87
Abdelhamid Sabiri,huddersfield-town,2018,2,88
Abdoulaye DoucourÃ©,watford-fc,2017,14,89
Abdoulaye DoucourÃ©,watford-fc,2018,37,89
Abdul Rahman Baba,chelsea-fc,2016,11,90
Abel HernÃ¡ndez,hull-city,2017,16,91
Adam Clayton,middlesbrough-fc,2017,32,92
Adam Federici,afc-bournemouth,2016,6,93
Adam Federici,afc-bournemouth,2017,2,93
Adam Forshaw,middlesbrough-fc,2017,30,94
Adam Johnson,sunderland-afc,2016,11,95
Adam Lallana,liverpool-fc,2016,23,96
Adam Lallana,liverpool-fc,2017,27,96
Adam Lallana,liverpool-fc,2018,1,96
Adam Smith,afc-bournemouth,2016,22,97
Adam Smith,afc-bournemouth,2017,34,97
Adam Smith,afc-bournemouth,2018,22,97
Adama DiomandÃ©,hull-city,2017,13,98
Adama TraorÃ©,middlesbrough-fc,2017,16,99
Ademola Lookman,everton-fc,2017,3,100
Ademola Lookman,everton-fc,2018,1,100
AdlÃ¨ne GuÃ©dioura,watford-fc,2016,3,101
AdlÃ¨ne GuÃ©dioura,watford-fc,2017,9,101
Adnan Januzaj,manchester-united,2016,2,102
Adnan Januzaj,sunderland-afc,2017,18,102
Adrian Mariappa,crystal-palace,2016,3,103
Adrian Mariappa,watford-fc,2017,6,103
Adrian Mariappa,watford-fc,2018,24,103
Ahmed El Mohamady,hull-city,2017,28,104
Ahmed Hegazy,west-bromwich-albion,2018,38,105
Ahmed Musa,leicester-city,2017,7,106
Ainsley Maitland-Niles,arsenal-fc,2018,8,107
Alan Hutton,aston-villa,2016,26,108
Albert Adomah,middlesbrough-fc,2017,1,109
Alberto Paloschi,swansea-city,2016,7,110
Aleksandar DragoviÄ,leicester-city,2018,7,111
Aleksandar Kolarov,manchester-city,2016,25,112
Aleksandar Kolarov,manchester-city,2017,27,112
Aleksandar MitroviÄ,newcastle-united,2016,22,113
Alex Iwobi,arsenal-fc,2016,8,114
Alex Iwobi,arsenal-fc,2017,18,114
Alex Iwobi,arsenal-fc,2018,22,114
Alex McCarthy,crystal-palace,2016,7,115
Alex McCarthy,southampton-fc,2018,18,115
Alex Oxlade-Chamberlain,arsenal-fc,2016,9,116
Alex Oxlade-Chamberlain,arsenal-fc,2017,16,116
Alex Oxlade-Chamberlain,arsenal-fc,2018,3,116
Alex Oxlade-Chamberlain,liverpool-fc,2018,14,116
Alex Pritchard,huddersfield-town,2018,12,117
Alex Song,west-ham-united,2016,8,118
Alexander SÃ¸rloth,crystal-palace,2018,4,119
Alexander Tettey,norwich-city,2016,23,120
Alexandre Lacazette,arsenal-fc,2018,26,121
Alexis SÃ¡nchez,arsenal-fc,2016,28,122
Alexis SÃ¡nchez,arsenal-fc,2017,36,122
Alexis SÃ¡nchez,arsenal-fc,2018,17,122
Alexis SÃ¡nchez,manchester-united,2018,12,122
Alfie Mawson,swansea-city,2017,27,123
Alfie Mawson,swansea-city,2018,38,123
Alfred N'Diaye,hull-city,2017,15,124
Allan Nyom,watford-fc,2016,29,125
Allan Nyom,west-bromwich-albion,2017,29,125
Allan Nyom,west-bromwich-albion,2018,25,125
Almen Abdi,watford-fc,2016,25,126
Aly Cissokho,aston-villa,2016,18,127
Andre Gray,burnley-fc,2017,26,128
Andre Gray,watford-fc,2018,16,128
Andre Wisdom,norwich-city,2016,9,129
Andrea Ranocchia,hull-city,2017,15,130
Andreas Christensen,chelsea-fc,2018,23,131
Andrew Robertson,hull-city,2017,31,132
Andrew Robertson,liverpool-fc,2018,22,132
Andrew Surman,afc-bournemouth,2016,38,133
Andrew Surman,afc-bournemouth,2017,21,133
Andrew Surman,afc-bournemouth,2018,20,133
Andros Townsend,crystal-palace,2017,30,134
Andros Townsend,crystal-palace,2018,35,134
Andros Townsend,newcastle-united,2016,12,134
AndrÃ© Ayew,swansea-city,2016,34,135
AndrÃ© Ayew,swansea-city,2018,10,135
AndrÃ© Ayew,west-ham-united,2017,16,135
AndrÃ© Ayew,west-ham-united,2018,9,135
AndrÃ© Carrillo,watford-fc,2018,16,136
Andy Carroll,west-ham-united,2016,13,137
Andy Carroll,west-ham-united,2017,15,137
Andy Carroll,west-ham-united,2018,7,137
Andy King,leicester-city,2016,9,138
Andy King,leicester-city,2017,15,138
Andy King,leicester-city,2018,5,138
Andy King,swansea-city,2018,9,138
Angelo Ogbonna,west-ham-united,2016,27,139
Angelo Ogbonna,west-ham-united,2017,20,139
Angelo Ogbonna,west-ham-united,2018,32,139
Anthony Knockaert,brighton-hove-albion,2018,27,140
Anthony Martial,manchester-united,2016,29,141
Anthony Martial,manchester-united,2017,18,141
Anthony Martial,manchester-united,2018,18,141
Antonio RÃ¼diger,chelsea-fc,2018,25,142
Antonio Valencia,manchester-united,2016,8,143
Antonio Valencia,manchester-united,2017,27,143
Antonio Valencia,manchester-united,2018,31,143
Arouna KonÃ©,everton-fc,2016,16,144
Arthur Masuaku,west-ham-united,2017,11,145
Arthur Masuaku,west-ham-united,2018,21,145
Artur Boruc,afc-bournemouth,2016,32,146
Artur Boruc,afc-bournemouth,2017,35,146
Ashley Barnes,burnley-fc,2017,20,147
Ashley Barnes,burnley-fc,2018,21,147
Ashley Fletcher,west-ham-united,2017,2,148
Ashley Westwood,aston-villa,2016,31,149
Ashley Westwood,burnley-fc,2017,6,149
Ashley Westwood,burnley-fc,2018,12,149
Ashley Williams,everton-fc,2017,35,150
Ashley Williams,everton-fc,2018,20,150
Ashley Williams,swansea-city,2016,36,150
Ashley Young,manchester-united,2016,11,151
Ashley Young,manchester-united,2017,8,151
Ashley Young,manchester-united,2018,28,151
Asmir BegoviÄ,afc-bournemouth,2018,38,152
Asmir BegoviÄ,chelsea-fc,2016,15,152
Asmir BegoviÄ,chelsea-fc,2017,2,152
Axel Tuanzebe,manchester-united,2017,4,153
Aymeric Laporte,manchester-city,2018,9,154
Bacary Sagna,manchester-city,2016,27,155
Bacary Sagna,manchester-city,2017,14,155
BafÃ©timbi Gomis,swansea-city,2016,18,156
Bakary Sako,crystal-palace,2016,11,157
Bakary Sako,crystal-palace,2018,4,157
Bastian Schweinsteiger,manchester-united,2016,13,158
Ben Chilwell,leicester-city,2017,7,159
Ben Chilwell,leicester-city,2018,20,159
Ben Davies,tottenham-hotspur,2016,14,160
Ben Davies,tottenham-hotspur,2017,18,160
Ben Davies,tottenham-hotspur,2018,26,160
Ben Foster,west-bromwich-albion,2016,15,161
Ben Foster,west-bromwich-albion,2017,38,161
Ben Foster,west-bromwich-albion,2018,37,161
Ben Gibson,middlesbrough-fc,2017,38,162
Ben Hamer,leicester-city,2018,3,163
Ben Mee,burnley-fc,2017,34,164
Ben Mee,burnley-fc,2018,29,164
Ben Watson,watford-fc,2016,31,165
Ben Watson,watford-fc,2018,6,165
Beni Baningime,everton-fc,2018,1,166
Benik Afobe,afc-bournemouth,2016,12,167
Benik Afobe,afc-bournemouth,2017,14,167
Benik Afobe,afc-bournemouth,2018,5,167
Benjamin Mendy,manchester-city,2018,4,168
Benjamin Woodburn,liverpool-fc,2017,1,169
Bernardo Espinosa,middlesbrough-fc,2017,10,170
Bertrand TraorÃ©,chelsea-fc,2016,4,171
Billy Jones,sunderland-afc,2016,23,172
Billy Jones,sunderland-afc,2017,25,172
Biram Kayal,brighton-hove-albion,2018,8,173
Boaz Myhill,west-bromwich-albion,2016,23,174
Boaz Myhill,west-bromwich-albion,2018,1,174
Brad Guzan,aston-villa,2016,28,175
Brad Guzan,middlesbrough-fc,2017,10,175
Brad Smith,afc-bournemouth,2017,3,176
Brad Smith,liverpool-fc,2016,3,176
Bradley Johnson,norwich-city,2016,1,177
Brandon Mason,watford-fc,2017,1,178
Branislav IvanoviÄ,chelsea-fc,2016,33,179
Branislav IvanoviÄ,chelsea-fc,2017,6,179
Brede Hangeland,crystal-palace,2016,7,180
Brendan Galloway,everton-fc,2016,14,181
Brendan Galloway,west-bromwich-albion,2017,3,181
Bruno Martins Indi,stoke-city,2017,35,182
Bruno Martins Indi,stoke-city,2018,14,182
Bryan Oviedo,everton-fc,2016,12,183
Bryan Oviedo,everton-fc,2017,6,183
Bryan Oviedo,sunderland-afc,2017,10,183
Callum McManaman,west-bromwich-albion,2016,2,184
Callum Wilson,afc-bournemouth,2016,9,185
Callum Wilson,afc-bournemouth,2017,16,185
Callum Wilson,afc-bournemouth,2018,23,185
Calum Chambers,arsenal-fc,2016,2,186
Calum Chambers,arsenal-fc,2017,1,186
Calum Chambers,arsenal-fc,2018,10,186
Calum Chambers,middlesbrough-fc,2017,24,186
Cameron Borthwick-Jackson,manchester-united,2016,6,187
Cameron Brannagan,liverpool-fc,2016,1,188
Cameron Jerome,norwich-city,2016,19,189
Carl Jenkinson,arsenal-fc,2017,1,190
Carl Jenkinson,west-ham-united,2016,13,190
Carlos SÃ¡nchez,aston-villa,2016,16,191
Cenk Tosun,everton-fc,2018,12,192
Chancel Mbemba,newcastle-united,2016,33,193
Chancel Mbemba,newcastle-united,2018,7,193
Charlie Adam,stoke-city,2016,12,194
Charlie Adam,stoke-city,2017,17,194
Charlie Adam,stoke-city,2018,5,194
Charlie Austin,southampton-fc,2016,2,195
Charlie Austin,southampton-fc,2017,11,195
Charlie Austin,southampton-fc,2018,10,195
Charlie Daniels,afc-bournemouth,2016,37,196
Charlie Daniels,afc-bournemouth,2017,34,196
Charlie Daniels,afc-bournemouth,2018,34,196
Charlie Taylor,burnley-fc,2018,10,197
Cheick TiotÃ©,newcastle-united,2016,16,198
Cheikhou KouyatÃ©,west-ham-united,2016,34,199
Cheikhou KouyatÃ©,west-ham-united,2017,31,199
Cheikhou KouyatÃ©,west-ham-united,2018,32,199
Chris Brunt,west-bromwich-albion,2016,20,200
Chris Brunt,west-bromwich-albion,2017,27,200
Chris Brunt,west-bromwich-albion,2018,22,200
Chris LÃ¶we,huddersfield-town,2018,19,201
Chris Smalling,manchester-united,2016,35,202
Chris Smalling,manchester-united,2017,13,202
Chris Smalling,manchester-united,2018,28,202
Chris Wood,burnley-fc,2018,20,203
Christian Atsu,newcastle-united,2018,19,204
Christian Benteke,crystal-palace,2017,36,205
Christian Benteke,crystal-palace,2018,24,205
Christian Benteke,liverpool-fc,2016,14,205
Christian Eriksen,tottenham-hotspur,2016,33,206
Christian Eriksen,tottenham-hotspur,2017,36,206
Christian Eriksen,tottenham-hotspur,2018,37,206
Christian Fuchs,leicester-city,2016,30,207
Christian Fuchs,leicester-city,2017,35,207
Christian Fuchs,leicester-city,2018,21,207
Christian Kabasele,watford-fc,2017,7,208
Christian Kabasele,watford-fc,2018,27,208
Christopher Schindler,huddersfield-town,2018,37,209
Chung-yong Lee,crystal-palace,2016,4,210
Chung-yong Lee,crystal-palace,2017,4,210
Chung-yong Lee,crystal-palace,2018,1,210
Ciaran Clark,aston-villa,2016,16,211
Ciaran Clark,newcastle-united,2018,19,211
Claudio Bravo,manchester-city,2017,22,212
Claudio Bravo,manchester-city,2018,2,212
Claudio Yacob,west-bromwich-albion,2016,33,213
Claudio Yacob,west-bromwich-albion,2017,27,213
Claudio Yacob,west-bromwich-albion,2018,9,213
Collin Quaner,huddersfield-town,2018,13,214
Connor Goldson,brighton-hove-albion,2018,2,215
Connor Randall,liverpool-fc,2016,2,216
Connor Roberts,swansea-city,2018,3,217
Connor Wickham,crystal-palace,2016,15,218
Connor Wickham,crystal-palace,2017,4,218
Costel Pantilimon,sunderland-afc,2016,17,219
Craig Cathcart,watford-fc,2016,34,220
Craig Cathcart,watford-fc,2017,13,220
Craig Cathcart,watford-fc,2018,5,220
Craig Dawson,west-bromwich-albion,2016,38,221
Craig Dawson,west-bromwich-albion,2017,37,221
Craig Dawson,west-bromwich-albion,2018,28,221
Craig Gardner,west-bromwich-albion,2016,20,222
Craig Gardner,west-bromwich-albion,2017,2,222
Cristhian Stuani,middlesbrough-fc,2017,16,223
Cuco Martina,everton-fc,2018,20,224
Cuco Martina,southampton-fc,2016,11,224
Cuco Martina,southampton-fc,2017,6,224
Curtis Davies,hull-city,2017,25,225
Dale Stephens,brighton-hove-albion,2018,36,226
Daley Blind,manchester-united,2016,35,227
Daley Blind,manchester-united,2017,20,227
Daley Blind,manchester-united,2018,4,227
Dame N'Doye,sunderland-afc,2016,5,228
Damien Delaney,crystal-palace,2016,32,229
Damien Delaney,crystal-palace,2017,21,229
Damien Delaney,crystal-palace,2018,1,229
Dan Gosling,afc-bournemouth,2016,28,230
Dan Gosling,afc-bournemouth,2017,14,230
Dan Gosling,afc-bournemouth,2018,21,230
Daniel Amartey,leicester-city,2016,1,231
Daniel Amartey,leicester-city,2017,17,231
Daniel Amartey,leicester-city,2018,6,231
Daniel Sturridge,liverpool-fc,2016,11,232
Daniel Sturridge,liverpool-fc,2017,7,232
Daniel Sturridge,liverpool-fc,2018,5,232
Daniel Sturridge,west-bromwich-albion,2018,2,232
Daniel Williams,huddersfield-town,2018,11,233
Danny Drinkwater,chelsea-fc,2018,5,234
Danny Drinkwater,leicester-city,2016,35,234
Danny Drinkwater,leicester-city,2017,27,234
Danny Graham,sunderland-afc,2016,4,235
Danny Ings,liverpool-fc,2016,3,236
Danny Ings,liverpool-fc,2018,3,236
Danny Rose,tottenham-hotspur,2016,24,237
Danny Rose,tottenham-hotspur,2017,18,237
Danny Rose,tottenham-hotspur,2018,9,237
Danny Simpson,leicester-city,2016,30,238
Danny Simpson,leicester-city,2017,34,238
Danny Simpson,leicester-city,2018,27,238
Danny Ward,liverpool-fc,2016,2,239
Danny Welbeck,arsenal-fc,2016,7,240
Danny Welbeck,arsenal-fc,2017,8,240
Danny Welbeck,arsenal-fc,2018,12,240
Darren Fletcher,stoke-city,2018,25,241
Darren Fletcher,west-bromwich-albion,2016,38,241
Darren Fletcher,west-bromwich-albion,2017,37,241
Darren Randolph,west-ham-united,2016,6,242
Darren Randolph,west-ham-united,2017,22,242
Darron Gibson,everton-fc,2016,2,243
Darron Gibson,sunderland-afc,2017,7,243
Daryl Janmaat,newcastle-united,2016,32,244
Daryl Janmaat,watford-fc,2017,18,244
Daryl Janmaat,watford-fc,2018,21,244
David Jones,burnley-fc,2017,1,245
David Marshall,hull-city,2017,16,246
David Meyler,hull-city,2017,9,247
David Ospina,arsenal-fc,2016,4,248
David Ospina,arsenal-fc,2017,1,248
David Ospina,arsenal-fc,2018,4,248
Davide Zappacosta,chelsea-fc,2018,12,249
Davinson SÃ¡nchez,tottenham-hotspur,2018,29,250
Davy Klaassen,everton-fc,2018,3,251
Davy PrÃ¶pper,brighton-hove-albion,2018,35,252
DeAndre Yedlin,newcastle-united,2018,31,253
DeAndre Yedlin,sunderland-afc,2016,21,253
Dean Marney,burnley-fc,2017,21,254
Declan Rice,west-ham-united,2018,15,255
Declan Rudd,norwich-city,2016,11,256
Dejan Lovren,liverpool-fc,2016,22,257
Dejan Lovren,liverpool-fc,2017,29,257
Dejan Lovren,liverpool-fc,2018,25,257
Dele Alli,tottenham-hotspur,2016,28,258
Dele Alli,tottenham-hotspur,2017,35,258
Dele Alli,tottenham-hotspur,2018,34,258
Demarai Gray,leicester-city,2016,1,259
Demarai Gray,leicester-city,2017,9,259
Demarai Gray,leicester-city,2018,17,259
Demetri Mitchell,manchester-united,2017,1,260
Diafra Sakho,west-ham-united,2016,18,261
Diafra Sakho,west-ham-united,2017,2,261
Didier Ndong,sunderland-afc,2017,27,262
Dieumerci Mbokani,hull-city,2017,8,263
Dieumerci Mbokani,norwich-city,2016,15,263
Dimitri Payet,west-ham-united,2016,29,264
Dimitri Payet,west-ham-united,2017,17,264
Divock Origi,liverpool-fc,2016,7,265
Divock Origi,liverpool-fc,2017,14,265
Dominic Calvert-Lewin,everton-fc,2017,5,266
Dominic Calvert-Lewin,everton-fc,2018,18,266
Dominic Solanke,liverpool-fc,2018,5,267
Donald Love,sunderland-afc,2017,6,268
Duncan Watmore,sunderland-afc,2016,7,269
Duncan Watmore,sunderland-afc,2017,11,269
DuÅ¡an TadiÄ,southampton-fc,2016,27,270
DuÅ¡an TadiÄ,southampton-fc,2017,30,270
DuÅ¡an TadiÄ,southampton-fc,2018,34,270
Dwight Gayle,crystal-palace,2016,8,271
Dwight Gayle,newcastle-united,2018,23,271
Eden Hazard,chelsea-fc,2016,25,272
Eden Hazard,chelsea-fc,2017,36,272
Eden Hazard,chelsea-fc,2018,28,272
Edimilson Fernandes,west-ham-united,2017,8,273
Edimilson Fernandes,west-ham-united,2018,9,273
Eldin JakupoviÄ,hull-city,2017,22,274
Eldin JakupoviÄ,leicester-city,2018,2,274
Eliaquim Mangala,everton-fc,2018,2,275
Eliaquim Mangala,manchester-city,2016,23,275
Eliaquim Mangala,manchester-city,2018,4,275
Elias Kachunga,huddersfield-town,2018,17,276
Emerson Hyndman,afc-bournemouth,2018,1,277
Emiliano MartÃ­nez,arsenal-fc,2017,2,278
Emilio N'Sue,middlesbrough-fc,2017,4,279
Emmanuel Adebayor,crystal-palace,2016,7,280
Emmanuel Emenike,west-ham-united,2016,5,281
Emmanuel RiviÃ¨re,newcastle-united,2016,1,282
Emre Can,liverpool-fc,2016,28,283
Emre Can,liverpool-fc,2017,26,283
Emre Can,liverpool-fc,2018,24,283
Enner Valencia,everton-fc,2017,5,284
Enner Valencia,west-ham-united,2016,10,284
Enner Valencia,west-ham-united,2017,3,284
Eric Bailly,manchester-united,2017,24,285
Eric Bailly,manchester-united,2018,11,285
Eric Dier,tottenham-hotspur,2016,37,286
Eric Dier,tottenham-hotspur,2017,34,286
Eric Dier,tottenham-hotspur,2018,32,286
Eric Maxim Choupo-Moting,stoke-city,2018,26,287
Erik Pieters,stoke-city,2016,35,288
Erik Pieters,stoke-city,2017,35,288
Erik Pieters,stoke-city,2018,30,288
Eunan O'Kane,afc-bournemouth,2016,6,289
Ezequiel Schelotto,brighton-hove-albion,2018,15,290
Fabian Delph,manchester-city,2016,8,291
Fabian Delph,manchester-city,2017,2,291
Fabian Delph,manchester-city,2018,21,291
Fabio Borini,sunderland-afc,2016,22,292
Fabio Borini,sunderland-afc,2017,19,292
Fabricio Coloccini,newcastle-united,2016,26,293
Federico FernÃ¡ndez,swansea-city,2016,32,294
Federico FernÃ¡ndez,swansea-city,2017,27,294
Federico FernÃ¡ndez,swansea-city,2018,30,294
Florent Hadergjonaj,huddersfield-town,2018,19,295
Florian Lejeune,newcastle-united,2018,24,296
Florian Thauvin,newcastle-united,2016,3,297
FoussÃ©ni DiabatÃ©,leicester-city,2018,5,298
Fraizer Campbell,crystal-palace,2016,4,299
Francis Coquelin,arsenal-fc,2016,21,300
Francis Coquelin,arsenal-fc,2017,22,300
Francis Coquelin,arsenal-fc,2018,1,300
Fraser Forster,southampton-fc,2016,18,301
Fraser Forster,southampton-fc,2017,38,301
Fraser Forster,southampton-fc,2018,20,301
Gabriel Agbonlahor,aston-villa,2016,13,302
Gabriel Obertan,newcastle-united,2016,3,303
Gareth Barry,everton-fc,2016,32,304
Gareth Barry,everton-fc,2017,23,304
Gareth Barry,west-bromwich-albion,2018,22,304
Gareth McAuley,west-bromwich-albion,2016,34,305
Gareth McAuley,west-bromwich-albion,2017,36,305
Gareth McAuley,west-bromwich-albion,2018,5,305
Gary Cahill,chelsea-fc,2016,21,306
Gary Cahill,chelsea-fc,2017,36,306
Gary Cahill,chelsea-fc,2018,24,306
Gary O'Neil,norwich-city,2016,19,307
GastÃ³n RamÃ­rez,middlesbrough-fc,2017,20,308
GaÃ«l Clichy,manchester-city,2016,12,309
GaÃ«l Clichy,manchester-city,2017,24,309
GaÃ«tan Bong,brighton-hove-albion,2018,25,310
Geoff Cameron,stoke-city,2016,27,311
Geoff Cameron,stoke-city,2017,18,311
Geoff Cameron,stoke-city,2018,17,311
George Boyd,burnley-fc,2017,33,312
George Friend,middlesbrough-fc,2017,20,313
George Honeyman,sunderland-afc,2017,2,314
Georges-KÃ©vin N'Koudou,burnley-fc,2018,2,315
Georginio Wijnaldum,liverpool-fc,2017,33,316
Georginio Wijnaldum,liverpool-fc,2018,27,316
Georginio Wijnaldum,newcastle-united,2016,36,316
Giannelli Imbula,stoke-city,2016,14,317
Giannelli Imbula,stoke-city,2017,9,317
Glen Johnson,stoke-city,2016,25,318
Glen Johnson,stoke-city,2017,21,318
Glen Johnson,stoke-city,2018,7,318
Glenn Murray,afc-bournemouth,2016,6,319
Glenn Murray,brighton-hove-albion,2018,25,319
